title,harga,lokasi,tanggal,terjangkau_internet,dibangun,carport,pemandangan,kondisi_properti,konsep_dan_gaya_rumah,listrik,sumber_air,lantai,kamar_mandi,material_lantai,kamar_pembantu,hadap,direnovasi,sertifikat,material_bangunan,lebar_jalan,perabotan,kamar_tidur,luas_bangunan,dapur,ruang_tamu,ruang_makan,hook,garasi,kamar_mandi_pembantu,luas_tanah,kitchen_set,tempat_jemuran,tempat_laundry,one_gate_system,keamanan,kompor,jalur_telepon,keamanan_24_jam,taman,pemanas_air,mesin_cuci,kulkas,masjid,kolam_renang,ac,cctv,wastafel,playground,akses_parkir,kolam_ikan,ac.1,tipe
"Rumah Baru Murah Dengan Konsep Minimalis , Tabanan, Bali , include Pajak Pembeli | Rumah123",320000000,Tabanan,2024-06-13,False,2022.0,1,Pemukiman Warga,Baru,Minimalis Modern,1300,Sumur Bor,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,30,0,True,True,False,1,False,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
Dijual Rumah SHM Baru konsep minimalis di Gubug Tabanan | Rumah123,320000000,Tabanan,2024-06-13,True,2022.0,1,Pedesaan,Baru,Minimalis Modern,1300,Sumur Bor,1.0,1.0,"Granit, Keramik, Marmer, Ubin, Vinyl",False,Barat,2022.0,SHM - Sertifikat Hak Milik,"Batako, Beton, Bata Merah, Bata Hebel",1 Mobil,Unfurnished,2.0,30,1,True,True,False,0,False,60,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,rumah
Dijual dan di sewakan villa mewah canggu kayutulang bali | Rumah123,350000000,Badung,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,5500,PAM atau PDAM,2.0,3.0,"Granit, Marmer",False,Selatan,2022.0,SHM - Sertifikat Hak Milik,"Beton, Bata Merah",2 Mobil,Furnished,3.0,250,1,False,False,False,0,False,120,True,False,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,villa
RUMAH MURAH LINGKUNGAN ASRI DI TABANAN | Rumah123,350000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,45,0,False,False,False,0,False,90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
Rumah Murah 360 Juta Di Tabanan Bali | Rumah123,360000000,Tabanan,2024-06-14,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
"Dijual Murah Rumah Graha Candra Asri di Kerambitan, Tabanan, Bali | Rumah123",365000000,Tabanan,2024-06-13,True,2022.0,1,Pemukiman Warga,Bagus,Minimalis,1300,PAM atau PDAM,1.0,1.0,Keramik,False,Utara,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,45,1,False,False,False,0,False,84,False,True,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,True,True,False,False,rumah
RUMAH MURAH DI GIANYAR | Rumah123,365000000,Gianyar,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,70,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH MINIMALIS 1 LANTAI DENGAN ONE GATE SYSTEM AREA SUKASADA BULELENG | Rumah123,375000000,Buleleng,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,58,0,False,False,False,0,False,108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
"RUMAH MINIMALIS Jl.GARUDA, TABANAN | Rumah123",380000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,900,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH MURAH DI GIANYAR | Rumah123,385000000,Gianyar,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,900,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,72,0,False,False,False,0,False,86,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
