price,location,bedroom,bathroom,carport,build_area,land_area,type
1750000000,Tabanan,2,2,0,57,132,villa
692000000,Denpasar,2,2,1,58,50,rumah
1200000000,Denpasar,3,2,1,58,104,rumah
375000000,Buleleng,2,1,0,58,108,rumah
1400000000,Badung,3,2,0,60,120,villa
900000000,Denpasar,2,2,1,60,50,rumah
725000000,Badung,2,2,0,60,60,rumah
725000000,Badung,2,2,0,60,60,rumah
725000000,Badung,2,2,0,60,60,rumah
750000000,Badung,2,2,0,60,60,rumah
750000000,Badung,2,2,0,60,60,rumah
750000000,Badung,2,2,0,60,60,rumah
750000000,Badung,2,2,0,60,60,rumah
750000000,Badung,2,2,0,60,60,rumah
750000000,Badung,2,2,0,60,60,rumah
775000000,Denpasar,2,2,1,60,60,rumah
800000000,Denpasar,4,2,0,60,60,rumah
875000000,Denpasar,3,2,1,60,60,rumah
895000000,Denpasar,3,2,1,60,60,rumah
895000000,Denpasar,3,2,1,60,60,rumah
895000000,Denpasar,3,2,1,60,60,rumah
895000000,Denpasar,3,2,1,60,60,rumah
895000000,Denpasar,3,2,1,60,60,rumah
895000000,Denpasar,3,2,0,60,60,rumah
975000000,Denpasar,3,2,1,60,60,rumah
1190000000,Badung,3,2,1,60,60,rumah
725000000,Denpasar,3,2,1,60,63,villa
895000000,Denpasar,2,2,1,60,65,rumah
920000000,Denpasar,4,2,0,60,65,rumah
560000000,Badung,2,1,0,60,70,rumah
650000000,Badung,2,1,0,60,70,rumah
800000000,Badung,2,1,0,60,70,rumah
800000000,Badung,2,2,0,60,72,rumah
550000000,Badung,2,1,0,60,75,rumah
900000000,Badung,3,2,1,60,75,rumah
775000000,Denpasar,2,2,0,60,78,rumah
800000000,Denpasar,3,1,0,60,80,rumah
1100000000,Badung,2,1,2,60,97,rumah
600000000,Badung,2,1,0,60,100,rumah
650000000,Tabanan,3,2,0,60,100,rumah
675000000,Badung,3,2,0,60,100,rumah
700000000,Denpasar,2,2,0,60,100,rumah
799000000,Tabanan,2,1,1,60,100,villa
800000000,Badung,2,1,0,60,100,rumah
830000000,Denpasar,2,2,1,60,100,rumah
830000000,Denpasar,2,2,0,60,100,rumah
830000000,Denpasar,2,2,1,60,100,rumah
850000000,Denpasar,2,2,0,60,100,rumah
900000000,Denpasar,3,1,0,60,100,rumah
950000000,Denpasar,3,1,0,60,100,rumah
975000000,Denpasar,3,1,1,60,100,rumah
1000000000,Denpasar,3,1,0,60,100,rumah
1000000000,Denpasar,3,1,1,60,100,rumah
1000000000,Denpasar,3,1,1,60,100,rumah
1080000000,Badung,3,2,0,60,100,rumah
1150000000,Denpasar,2,1,0,60,100,rumah
1150000000,Denpasar,2,1,1,60,100,rumah
1450000000,Badung,2,2,1,60,100,villa
1450000000,Badung,2,2,1,60,100,villa
920000000,Badung,2,1,1,60,113,rumah
210000000,Buleleng,2,1,0,60,120,rumah
950000000,Badung,2,1,0,60,120,rumah
1100000000,Badung,2,2,0,60,120,rumah
1500000000,Badung,2,1,1,60,120,rumah
1800000000,Badung,2,3,0,60,120,villa
1800000000,Badung,2,3,1,60,120,villa
1800000000,Badung,2,3,0,60,120,villa
2000000000,Badung,2,2,1,60,120,villa
1590000000,Badung,2,2,1,60,129,villa
1590000000,Badung,2,2,0,60,129,villa
1590000000,Badung,2,2,0,60,129,villa
1800000000,Badung,2,3,1,60,135,villa
1800000000,Badung,2,3,1,60,135,villa
1800000000,Badung,2,3,1,60,135,villa
1800000000,Badung,2,2,1,60,135,villa
425000000,Buleleng,2,2,0,60,146,rumah
1300000000,Denpasar,3,2,1,60,147,rumah
1800000000,Badung,2,1,2,60,150,rumah
1400000000,Badung,2,2,1,60,186,rumah
1400000000,Badung,2,2,1,60,186,rumah
740000000,Badung,2,1,1,62,60,rumah
850000000,Badung,2,2,0,62,60,rumah
895000000,Badung,3,1,1,62,100,rumah
895000000,Badung,3,1,0,62,100,rumah
900000000,Badung,3,1,0,62,100,rumah
920000000,Badung,3,1,0,62,100,rumah
1000000000,Badung,3,3,0,63,100,rumah
1100000000,Badung,2,1,1,63,102,rumah
1100000000,Badung,2,1,0,63,102,rumah
1300000000,Denpasar,2,1,0,64,150,rumah
1600000000,Badung,3,2,0,64,207,rumah
1600000000,Badung,3,2,0,64,207,rumah
850000000,Denpasar,2,2,0,65,64,rumah
785000000,Badung,2,2,0,65,65,rumah
1150000000,Denpasar,3,2,2,65,65,villa
1150000000,Denpasar,3,2,1,65,65,rumah
500000000,Badung,2,1,0,65,75,rumah
2000000000,Denpasar,1,1,0,65,76,villa
2000000000,Badung,1,1,0,65,76,villa
2300000000,Badung,1,1,1,65,76,villa
775000000,Tabanan,2,2,0,65,81,rumah
900000000,Badung,2,2,0,65,95,rumah
625000000,Tabanan,2,1,0,65,96,rumah
600000000,Gianyar,2,2,0,65,100,rumah
700000000,Denpasar,3,1,0,65,100,rumah
775000000,Badung,2,2,1,65,100,rumah
1480000000,Denpasar,3,3,1,65,100,rumah
1250000000,Denpasar,3,2,1,65,101,rumah
1550000000,Badung,2,1,1,65,105,rumah
2000000000,Badung,2,2,2,65,135,villa
2000000000,Badung,2,2,2,65,135,villa
2300000000,Badung,2,2,1,65,135,villa
700000000,Tabanan,3,1,0,65,178,rumah
1400000000,Badung,2,2,0,66,105,villa
1400000000,Badung,2,1,0,66,105,villa
1030000000,Badung,2,2,1,67,117,villa
1200000000,Badung,2,2,0,68,87,rumah
2490000000,Tabanan,2,3,0,68,105,villa
2600000000,Tabanan,2,1,1,68,110,rumah
1400000000,Badung,3,3,1,69,100,rumah
2600000000,Badung,2,2,1,69,103,rumah
2700000000,Badung,2,2,0,69,103,rumah
2100000000,Badung,2,2,1,69,105,villa
800000000,Denpasar,2,2,0,70,47,rumah
1100000000,Denpasar,3,2,1,70,60,rumah
1100000000,Denpasar,3,2,1,70,60,rumah
1100000000,Denpasar,3,2,0,70,60,rumah
1150000000,Denpasar,3,2,1,70,60,rumah
1190000000,Denpasar,3,2,0,70,60,rumah
1190000000,Denpasar,3,2,1,70,60,rumah
1250000000,Denpasar,3,2,1,70,60,rumah
1700000000,Badung,2,2,0,70,60,rumah
1090000000,Denpasar,3,2,1,70,61,rumah
1090000000,Denpasar,3,2,1,70,61,rumah
1100000000,Denpasar,3,2,1,70,61,rumah
1100000000,Denpasar,3,2,1,70,61,rumah
1150000000,Badung,3,2,1,70,61,rumah
1150000000,Denpasar,2,2,1,70,61,rumah
987000000,Denpasar,2,1,1,70,62,rumah
987000000,Denpasar,3,3,1,70,62,rumah
1100000000,Denpasar,3,2,1,70,63,rumah
1100000000,Denpasar,3,2,1,70,63,rumah
1150000000,Denpasar,3,2,1,70,63,rumah
1200000000,Denpasar,3,2,0,70,63,rumah
760000000,Badung,2,2,0,70,70,rumah
780000000,Badung,2,1,1,70,70,rumah
795000000,Badung,2,2,0,70,70,rumah
1350000000,Denpasar,2,2,0,70,70,rumah
775000000,Badung,2,1,1,70,73,rumah
750000000,Badung,2,1,1,70,76,rumah
775000000,Badung,2,1,1,70,80,rumah
850000000,Badung,2,2,0,70,80,rumah
950000000,Denpasar,3,2,0,70,84,rumah
1340000000,Denpasar,3,2,1,70,84,rumah
550000000,Gianyar,4,2,0,70,100,rumah
750000000,Badung,2,1,0,70,100,rumah
800000000,Denpasar,4,2,1,70,100,rumah
830000000,Denpasar,2,2,1,70,100,rumah
850000000,Badung,2,2,2,70,100,rumah
925000000,Badung,2,1,0,70,100,rumah
1000000000,Badung,2,2,1,70,100,rumah
1000000000,Badung,3,2,1,70,100,rumah
1000000000,Badung,3,3,2,70,100,villa
1050000000,Badung,3,3,1,70,100,rumah
1050000000,Badung,3,3,0,70,100,rumah
1070000000,Badung,3,2,1,70,100,rumah
1200000000,Badung,3,2,1,70,100,rumah
1250000000,Badung,2,2,1,70,100,rumah
1250000000,Badung,3,2,0,70,100,rumah
1250000000,Badung,3,2,1,70,100,rumah
1250000000,Badung,3,2,1,70,100,rumah
1300000000,Badung,3,2,1,70,100,rumah
1350000000,Badung,3,2,0,70,100,rumah
1400000000,Badung,2,2,0,70,100,villa
1500000000,Badung,2,1,0,70,100,rumah
1500000000,Denpasar,2,2,0,70,100,rumah
2500000000,Badung,1,1,0,70,100,villa
2040000000,Gianyar,1,1,0,70,101,villa
1000000000,Badung,2,2,1,70,104,rumah
1400000000,Badung,3,2,0,70,104,rumah
1500000000,Badung,3,2,0,70,104,rumah
1600000000,Badung,2,2,0,70,104,rumah
1120000000,Badung,2,2,1,70,105,rumah
1450000000,Badung,2,1,1,70,105,villa
1500000000,Badung,2,2,1,70,105,rumah
1500000000,Badung,2,2,1,70,105,rumah
1500000000,Badung,2,2,2,70,105,villa
1500000000,Badung,2,2,0,70,105,villa
1500000000,Badung,2,2,1,70,105,villa
1500000000,Denpasar,3,2,0,70,106,rumah
2109999999,Gianyar,1,1,0,70,107,villa
1400000000,Badung,2,1,0,70,108,rumah
1400000000,Badung,2,1,0,70,108,rumah
1000000000,Badung,2,2,0,70,115,rumah
790000000,Badung,2,1,1,70,116,rumah
900000000,Badung,3,3,1,70,120,rumah
900000000,Badung,3,3,0,70,120,rumah
1200000000,Badung,2,2,0,70,120,rumah
1200000000,Denpasar,3,2,0,70,120,rumah
1200000000,Denpasar,2,2,0,70,120,rumah
1200000000,Denpasar,3,2,0,70,120,rumah
1400000000,Badung,2,2,1,70,120,rumah
1500000000,Badung,2,2,1,70,120,rumah
1570000000,Badung,3,2,0,70,120,rumah
1570000000,Badung,3,2,0,70,120,villa
1570000000,Badung,3,3,1,70,120,rumah
1800000000,Badung,2,3,1,70,120,villa
1800000000,Badung,2,2,0,70,120,villa
2000000000,Badung,2,2,0,70,120,villa
2000000000,Badung,2,2,0,70,120,villa
2000000000,Badung,2,2,0,70,120,villa
2000000000,Badung,2,2,0,70,120,villa
1250000000,Badung,2,2,0,70,124,rumah
1270000000,Badung,2,1,0,70,124,rumah
1400000000,Badung,2,1,0,70,124,villa
2500000000,Badung,1,1,1,70,126,villa
1300000000,Badung,2,1,0,70,130,rumah
3900000000,Badung,1,1,1,70,133,villa
3930000000,Badung,1,1,0,70,133,villa
4200000000,Badung,1,1,1,70,140,villa
1150000000,Badung,3,2,1,70,143,rumah
1300000000,Badung,2,2,0,70,153,rumah
1500000000,Badung,3,2,1,70,165,rumah
1300000000,Gianyar,2,1,0,70,200,villa
775000000,Badung,2,3,1,72,60,rumah
1900000000,Badung,3,2,1,72,63,rumah
1900000000,Badung,3,2,0,72,63,rumah
1930000000,Denpasar,3,3,1,72,64,rumah
950000000,Badung,2,1,0,72,72,rumah
1150000000,Denpasar,2,2,0,72,81,rumah
385000000,Gianyar,2,1,0,72,86,rumah
1700000000,Badung,2,2,0,72,88,villa
550000000,Tabanan,2,1,1,72,99,rumah
1750000000,Denpasar,2,2,1,72,100,rumah
1800000000,Badung,3,3,0,72,100,villa
1800000000,Badung,3,3,1,72,100,villa
1050000000,Badung,2,1,0,72,120,villa
625000000,Tabanan,2,1,0,72,144,rumah
